heliocentric,radial_velocity,weight
14035.794,-2.9,0.5
14036.827,-5.1,0.5
14057.744,-6.4,0.5
14693.020,-2.5,1.0
15524.755,-5.2,0.5
16259.792,6.8,0.5
16571.961,-2.4,0.5
16646.711,-5.3,0.5
17710.75,1.4,1.0
17716.68,4.4,1.0
17795.58,10.5,0.8
17968.84,-2.3,1.0
17970.88,-2.0,1.0
17989.94,-3.7,1.0
17996.80,-5.3,1.0
18031.91,-5.7,1.0
18051.927,-5.3,0.5
18066.78,-5.2,0.8
18085.67,-6.2,0.8
18087.67,-5.6,1.0
18115.59,-4.5,0.5
18129.61,-6.0,0.8
18138.61,-4.0,0.8
18192.54,1.2,1.0
18314.97,10.1,1.0
18337.78,6.7,1.0
18355.85,7.5,0.8
18386.71,4.3,0.8
18529.56,-5.0,0.5
18549.56,-5.7,1.0
18713.78,6.8,0.5
18727.70,8.2,0.8
18742.82,9.5,0.8
18136.707,-4.6,0.5
23175.708,7.4,1.0
27928.875,-4.5,0.5
27936.853,-4.7,1.0
27958.823,-6.5,1.0
27972.782,-6.1,0.5
27975.804,-6.6,1.0
28989.942,-4.7,1.0
29011.840,-4.5,1.0
29037.780,-1.5,1.0
29277.003,1.1,1.0
29278.019,0.7,1.0
29278.991,1.5,1.0
29317.042,-0.8,1.0
29339.009,-1.8,1.0
29359.009,-3.3,1.0
29383.941,-2.7,0.5
29455.688,-4.7,1.0
29695.005,7.7,1.0
29709.010,7.2,1.0
29758.835,2.4,1.0
29767.831,1.9,1.0
29776.852,0.6,1.0
29793.740,-1.3,1.0
29800.732,-1.6,0.5
30097.930,8.7,1.0
30098.883,8.0,1.0
30104.922,8.9,1.0
30112.906,8.6,1.0
30121.858,10.7,0.5
30154.753,11.2,1.0
30158.696,11.1,1.0
30402.023,-4.9,1.0
30404.000,-5.2,1.0
30418.049,-5.8,1.0
30422.000,-5.1,1.0
30427.015,-5.4,1.0
30435.954,-5.2,1.0
30444.985,-4.2,1.0
30456.895,-4.7,1.0
30468.892,-5.1,0.5
30474.893,-4.2,1.0
30481.840,-5.3,1.0
30511.762,-3.4,1.0
30514.769,-2.9,1.0
30530.704,-0.5,0.5
30541.698,-0.4,0.5
30557.679,3.4,0.5
30595.659,8.3,1.0
30767.004,0.9,0.5
30783.998,-0.9,1.0
30802.992,-2.0,0.5
30808.889,-3.1,1.0
30824.932,-3.0,1.0
30862.768,-4.8,1.0
31159.000,9.5,0.5
31170.963,8.6,1.0
31216.899,4.3,1.0
31249.798,1.2,1.0
31299.680,-2.9,1.0
31484.071,-5.1,0.5
31511.032,-2.5,1.0
31546.983,2.3,1.0
31567.859,6.1,1.0
31599.757,10.1,1.0
31615.708,12.0,1.0
31633.713,10.0,1.0
31659.683,9.1,1.0
31677.681,7.2,1.0
31699.655,5.4,1.0
31834.992,-3.9,1.0
31853.038,-4.2,1.0
31881.016,-4.6,1.0
31924.876,-6.1,1.0
31946.808,-5.5,1.0
31977.728,-4.1,1.0
31999.697,-2.3,1.0
32032.681,1.7,0.5
32050.672,3.0,0.5
32072.651,8.6,0.5
32365.710,-4.5,1.0
