standard,non_uniform:
1.5266646856554913,1.5253228611917473
1.5269348687205109,1.5254848864706338
1.5299889300401053,1.5271708621296591
1.5314654245921124,1.5276225359705473
1.5367304387142555,1.528252778908872
1.536901315930915,1.5299585224176513
1.5437754404190793,1.5360195578006275
1.5460154963836878,1.5390777443004773
1.5789256703916004,1.5406098257653749
1.5836984045875018,1.5418191412368065
1.6631293010306378,1.5427655872633248
1.6809246893182102,1.5598440062616725
1.8440773306894136,1.5680782860311457
1.938845008070796,1.579440497589483
2.0705668803857127,1.5827422544296743
2.1154470411474273,1.5865833078331626
2.660437060211281,1.59627783413077
2.8817528270995427,1.6228904713157968
2.909755188841329,2.786225986151726
2.9237181962593293,2.8311574714331735
2.9266838781973377,4.513103887682611
2.9560899338290043,4.977382013797397
3.022006086942963,5.088789888599239
3.040654648393163,27.26480378047278
4.904629961964358,39.134391780066906
