standard,objective,distance,non_uniform:
0.36641813677057034,0.3655882111712767,0.531217302665194,0.3661542084856074
0.36676542866771106,0.365906941215821,0.5768382746916904,0.3667129219563334
0.36722350152122085,0.365939168826306,0.5931726080872921,0.36700424083577027
0.36765438031174674,0.36600009896685054,0.597626806757756,0.36878664745290257
0.3700741168626725,0.36622397052740624,0.6237915223245352,0.3723758117069815
0.3713937450412953,0.3666199372198308,0.6989593862160284,0.37688099392417124
0.3726533826579295,0.366702158149823,0.7436244818921801,0.37849650115543104
0.3806081100598018,0.373783028016359,0.8693140661365267,0.3883727385358648
0.3983125229154094,0.3755838545710793,0.9075924625592416,0.4039930420846383
0.4018616937208381,0.3781111048812566,0.9532112764885428,0.41410435495879383
0.4496460305894102,0.4113917559283739,0.9667697417745788,0.42915226166514114
0.4572763022317162,0.44618686952579506,1.0237660762189003,0.44512294100226873
0.4601992680987527,0.6195254074454991,1.0810605519847916,0.496924267673265
0.5840183681748682,0.9134021501665105,1.150055456534411,0.7066993157659044
1.0037886276803354,0.9187216598859412,1.1787901267566507,0.9132712563597268
1.0206480625623322,0.9467036552869345,1.2790385433500837,0.9188098228530526
1.1107532888106773,1.0427212584001133,1.308560717435576,0.9248259936870848
1.3249612479563146,1.1198366735824694,1.3191556168200358,1.0880820632438786
1.330725771934929,1.8351431737409933,1.4022082559928668,1.8323583205104426
1.3524217299844612,1.8369094697126616,1.5553046271853552,1.8344708354078774
1.844964757144012,1.8386319509776858,1.8105912892855558,1.8420675269390971
2.0462421746799757,1.8397628928747929,1.832124816661885,1.8436880544561407
7.453999911566741,1.841978403018954,1.8401867362651945,2.4433418496766968
17.431953322457005,1.8432922818143533,2.1899738742637855,6.410270343549286
17.516110553758008,1.872780897656386,17.857822132399697,17.91952467927901
